CPF,Email,Descrição,Valor
11122233344,emailaleatoria1@gmail.com,Curso de Excel,1500
11122233355,emailaleatoria2@gmail.com,Curso de Excel,1500
11122233366,emailaleatoria3@gmail.com,Curso de Excel,1500
11122233377,emailaleatoria4@gmail.com,Curso de VBA,2500
11122233388,emailaleatoria5@gmail.com,Curso de Python,3000
11122233399,emailaleatoria6@gmail.com,Curso de Power BI,2900
11122233410,emailaleatoria7@gmail.com,Curso de Power BI,2900
11122233421,emailaleatoria8@gmail.com,Curso de Python,3000
11122233432,emailaleatoria9@gmail.com,Curso de Power BI,2900
11122233443,emailaleatoria10@gmail.com,Curso de Python,3000
11122233454,emailaleatoria11@gmail.com,Curso de Python,3000
11122233465,emailaleatoria12@gmail.com,Curso de Python,3000
11122233476,emailaleatoria13@gmail.com,Curso de Python,3000
11122233487,emailaleatoria14@gmail.com,Curso de Python,3000
